"","carr","gene","estr","orig","age","Age"
"1","Biol","F","alto","Bogo",17,"Media"
"2","Biol","M","medio","Bogo",17,"Media"
"3","Biol","F","bajo","Bogo",18,"Media"
"4","Biol","F","bajo","Bogo",18,"Media"
"5","Biol","M","medio","Bogo",17,"Media"
"6","Biol","F","medio","Bogo",17,"Media"
"7","Biol","F","medio","Bogo",17,"Media"
"8","Biol","M","medio","Bogo",17,"Media"
"9","Biol","F","medio","Bogo",19,"Alta"
"10","Biol","M","medio","Bogo",18,"Media"
"11","Biol","M","bajo","Bogo",17,"Media"
"12","Biol","M","medio","Bogo",17,"Media"
"13","Biol","M","medio","Bogo",16,"Baja"
"14","Biol","F","alto","Bogo",17,"Media"
"15","Biol","M","medio","Bogo",17,"Media"
"16","Biol","M","medio","Bogo",18,"Media"
"17","Biol","M","medio","Bogo",20,"Alta"
"18","Biol","F","medio","Bogo",20,"Alta"
"19","Biol","M","alto","Otro",17,"Media"
"20","Biol","M","medio","Bogo",35,"Alta"
"21","Biol","M","bajo","Bogo",20,"Alta"
"22","Biol","F","bajo","Bogo",19,"Alta"
"23","Biol","M","alto","Otro",17,"Media"
"24","Biol","M","bajo","Bogo",19,"Alta"
"25","Biol","F","medio","Otro",17,"Media"
"26","Biol","M","bajo","Cund",17,"Media"
"27","Biol","F","alto","Bogo",16,"Baja"
"28","Biol","F","medio","Cund",17,"Media"
"29","Biol","M","bajo","Bogo",20,"Alta"
"30","Biol","M","bajo","Otro",16,"Baja"
"31","Biol","F","alto","Cund",16,"Baja"
"32","Biol","M","bajo","Bogo",21,"Alta"
"33","Biol","F","bajo","Otro",20,"Alta"
"34","Biol","M","medio","Cund",16,"Baja"
"35","Biol","M","bajo","Cund",17,"Media"
"36","Biol","F","bajo","Otro",16,"Baja"
"37","Biol","M","bajo","Cund",17,"Media"
"38","Biol","F","medio","Otro",16,"Baja"
"39","Biol","M","alto","Cund",17,"Media"
"40","Biol","F","bajo","Otro",18,"Media"
"41","Biol","M","bajo","Otro",18,"Media"
"42","Biol","F","medio","Otro",16,"Baja"
"43","Biol","M","bajo","Otro",17,"Media"
"44","Biol","M","alto","Bogo",17,"Media"
"45","Biol","F","medio","Bogo",16,"Baja"
"46","Biol","M","alto","Bogo",19,"Alta"
"47","Biol","M","alto","Bogo",16,"Baja"
"48","Biol","M","medio","Bogo",19,"Alta"
"49","Biol","M","medio","Bogo",17,"Media"
"50","Biol","M","bajo","Bogo",18,"Media"
"51","Biol","M","alto","Bogo",17,"Media"
"52","Biol","M","alto","Bogo",18,"Media"
"53","Biol","F","medio","Bogo",18,"Media"
"54","Biol","M","bajo","Bogo",17,"Media"
"55","Biol","M","alto","Bogo",17,"Media"
"56","Biol","M","medio","Bogo",16,"Baja"
"57","Biol","F","alto","Bogo",17,"Media"
"58","Biol","M","bajo","Otro",16,"Baja"
"59","Biol","F","medio","Otro",17,"Media"
"60","Biol","M","medio","Otro",17,"Media"
"61","Biol","M","bajo","Otro",16,"Baja"
"62","Biol","F","bajo","Otro",15,"Baja"
"63","Biol","M","bajo","Otro",16,"Baja"
"64","Esta","M","medio","Bogo",17,"Media"
"65","Esta","M","alto","Bogo",16,"Baja"
"66","Esta","M","bajo","Bogo",17,"Media"
"67","Esta","F","alto","Bogo",16,"Baja"
"68","Esta","M","medio","Bogo",17,"Media"
"69","Esta","M","medio","Bogo",30,"Alta"
"70","Esta","M","bajo","Bogo",17,"Media"
"71","Esta","M","bajo","Bogo",17,"Media"
"72","Esta","M","medio","Bogo",17,"Media"
"73","Esta","M","medio","Bogo",17,"Media"
"74","Esta","F","bajo","Bogo",19,"Alta"
"75","Esta","M","bajo","Bogo",17,"Media"
"76","Esta","M","medio","Bogo",16,"Baja"
"77","Esta","F","medio","Bogo",17,"Media"
"78","Esta","F","medio","Bogo",16,"Baja"
"79","Esta","F","medio","Bogo",16,"Baja"
"80","Esta","M","bajo","Bogo",17,"Media"
"81","Esta","F","alto","Bogo",16,"Baja"
"82","Esta","M","bajo","Bogo",19,"Alta"
"83","Esta","M","medio","Bogo",17,"Media"
"84","Esta","M","bajo","Bogo",17,"Media"
"85","Esta","F","bajo","Bogo",16,"Baja"
"86","Esta","M","bajo","Bogo",16,"Baja"
"87","Esta","F","medio","Bogo",16,"Baja"
"88","Esta","M","medio","Bogo",39,"Alta"
"89","Esta","F","bajo","Bogo",20,"Alta"
"90","Esta","M","bajo","Bogo",21,"Alta"
"91","Esta","F","bajo","Cund",17,"Media"
"92","Esta","M","bajo","Bogo",19,"Alta"
"93","Esta","M","bajo","Bogo",20,"Alta"
"94","Esta","M","bajo","Bogo",16,"Baja"
"95","Esta","M","medio","Bogo",18,"Media"
"96","Esta","M","bajo","Bogo",25,"Alta"
"97","Esta","F","medio","Cund",16,"Baja"
"98","Esta","M","bajo","Bogo",31,"Alta"
"99","Esta","M","bajo","Otro",17,"Media"
"100","Esta","M","medio","Bogo",18,"Media"
"101","Esta","M","medio","Bogo",30,"Alta"
"102","Esta","F","bajo","Cund",17,"Media"
"103","Esta","M","bajo","Cund",22,"Alta"
"104","Esta","M","alto","Cund",17,"Media"
"105","Esta","M","medio","Otro",17,"Media"
"106","Esta","M","medio","Otro",16,"Baja"
"107","Esta","F","alto","Otro",17,"Media"
"108","Esta","M","bajo","Bogo",16,"Baja"
"109","Esta","M","medio","Bogo",16,"Baja"
"110","Esta","F","bajo","Bogo",16,"Baja"
"111","Esta","M","medio","Bogo",17,"Media"
"112","Esta","F","medio","Bogo",15,"Baja"
"113","Esta","M","medio","Bogo",16,"Baja"
"114","Esta","M","bajo","Bogo",17,"Media"
"115","Esta","M","medio","Bogo",16,"Baja"
"116","Esta","M","bajo","Bogo",19,"Alta"
"117","Esta","M","medio","Bogo",17,"Media"
"118","Esta","F","medio","Bogo",22,"Alta"
"119","Esta","M","medio","Bogo",17,"Media"
"120","Esta","M","alto","Bogo",18,"Media"
"121","Esta","M","bajo","Bogo",17,"Media"
"122","Esta","M","alto","Bogo",17,"Media"
"123","Esta","M","bajo","Otro",20,"Alta"
"124","Esta","M","bajo","Otro",18,"Media"
"125","Esta","F","medio","Otro",17,"Media"
"126","Esta","M","medio","Otro",17,"Media"
"127","Esta","M","bajo","Otro",18,"Media"
"128","Esta","M","medio","Otro",17,"Media"
"129","Esta","M","alto","Bogo",17,"Media"
"130","Farm","M","medio","Bogo",17,"Media"
"131","Farm","F","medio","Bogo",16,"Baja"
"132","Farm","F","medio","Bogo",17,"Media"
"133","Farm","F","medio","Bogo",16,"Baja"
"134","Farm","M","medio","Bogo",17,"Media"
"135","Farm","M","medio","Bogo",18,"Media"
"136","Farm","F","medio","Bogo",18,"Media"
"137","Farm","F","medio","Bogo",19,"Alta"
"138","Farm","M","bajo","Bogo",17,"Media"
"139","Farm","F","medio","Bogo",17,"Media"
"140","Farm","F","bajo","Bogo",17,"Media"
"141","Farm","F","medio","Bogo",16,"Baja"
"142","Farm","F","medio","Bogo",18,"Media"
"143","Farm","F","medio","Bogo",17,"Media"
"144","Farm","F","medio","Bogo",17,"Media"
"145","Farm","F","medio","Bogo",17,"Media"
"146","Farm","F","medio","Bogo",16,"Baja"
"147","Farm","M","medio","Bogo",16,"Baja"
"148","Farm","F","bajo","Bogo",23,"Alta"
"149","Farm","F","medio","Bogo",17,"Media"
"150","Farm","F","bajo","Bogo",16,"Baja"
"151","Farm","F","medio","Bogo",17,"Media"
"152","Farm","F","medio","Bogo",16,"Baja"
"153","Farm","F","medio","Bogo",18,"Media"
"154","Farm","M","bajo","Bogo",23,"Alta"
"155","Farm","M","medio","Otro",17,"Media"
"156","Farm","M","medio","Bogo",23,"Alta"
"157","Farm","F","bajo","Bogo",17,"Media"
"158","Farm","M","bajo","Bogo",20,"Alta"
"159","Farm","M","medio","Bogo",18,"Media"
"160","Farm","M","bajo","Bogo",19,"Alta"
"161","Farm","M","medio","Bogo",18,"Media"
"162","Farm","M","medio","Bogo",18,"Media"
"163","Farm","F","bajo","Otro",16,"Baja"
"164","Farm","M","medio","Bogo",18,"Media"
"165","Farm","F","bajo","Bogo",18,"Media"
"166","Farm","M","bajo","Bogo",26,"Alta"
"167","Farm","F","bajo","Bogo",18,"Media"
"168","Farm","M","bajo","Bogo",17,"Media"
"169","Farm","F","medio","Otro",16,"Baja"
"170","Farm","M","bajo","Bogo",18,"Media"
"171","Farm","M","bajo","Cund",20,"Alta"
"172","Farm","M","bajo","Cund",18,"Media"
"173","Farm","M","bajo","Cund",16,"Baja"
"174","Farm","F","bajo","Bogo",16,"Baja"
"175","Farm","M","alto","Bogo",20,"Alta"
"176","Farm","F","medio","Otro",16,"Baja"
"177","Farm","F","bajo","Otro",16,"Baja"
"178","Farm","M","medio","Cund",17,"Media"
"179","Farm","F","bajo","Otro",22,"Alta"
"180","Farm","F","bajo","Bogo",20,"Alta"
"181","Farm","M","medio","Bogo",17,"Media"
"182","Farm","M","medio","Bogo",19,"Alta"
"183","Farm","F","bajo","Otro",19,"Alta"
"184","Farm","M","medio","Bogo",17,"Media"
"185","Farm","F","medio","Bogo",18,"Media"
"186","Farm","F","alto","Bogo",17,"Media"
"187","Farm","M","bajo","Bogo",17,"Media"
"188","Farm","F","alto","Bogo",17,"Media"
"189","Farm","M","medio","Bogo",16,"Baja"
"190","Farm","F","medio","Bogo",17,"Media"
"191","Farm","M","bajo","Bogo",17,"Media"
"192","Farm","F","medio","Bogo",18,"Media"
"193","Farm","F","alto","Bogo",16,"Baja"
"194","Farm","M","alto","Bogo",16,"Baja"
"195","Farm","M","bajo","Bogo",18,"Media"
"196","Farm","M","alto","Bogo",16,"Baja"
"197","Farm","M","bajo","Otro",17,"Media"
"198","Farm","F","alto","Otro",17,"Media"
"199","Farm","F","bajo","Otro",16,"Baja"
"200","Farm","F","bajo","Otro",17,"Media"
"201","Farm","M","bajo","Otro",17,"Media"
"202","Farm","F","bajo","Otro",20,"Alta"
"203","Fisi","M","alto","Bogo",18,"Media"
"204","Fisi","M","alto","Bogo",16,"Baja"
"205","Fisi","F","medio","Bogo",16,"Baja"
"206","Fisi","M","medio","Bogo",16,"Baja"
"207","Fisi","M","medio","Bogo",17,"Media"
"208","Fisi","M","medio","Bogo",18,"Media"
"209","Fisi","M","medio","Bogo",17,"Media"
"210","Fisi","M","medio","Bogo",18,"Media"
"211","Fisi","M","bajo","Bogo",16,"Baja"
"212","Fisi","M","medio","Bogo",19,"Alta"
"213","Fisi","M","bajo","Bogo",18,"Media"
"214","Fisi","M","alto","Bogo",16,"Baja"
"215","Fisi","M","bajo","Bogo",17,"Media"
"216","Fisi","M","medio","Bogo",17,"Media"
"217","Fisi","M","bajo","Bogo",18,"Media"
"218","Fisi","M","alto","Bogo",16,"Baja"
"219","Fisi","M","alto","Bogo",17,"Media"
"220","Fisi","M","medio","Bogo",40,"Alta"
"221","Fisi","M","alto","Bogo",17,"Media"
"222","Fisi","M","alto","Bogo",17,"Media"
"223","Fisi","F","bajo","Bogo",21,"Alta"
"224","Fisi","M","bajo","Bogo",17,"Media"
"225","Fisi","M","alto","Otro",16,"Baja"
"226","Fisi","M","bajo","Bogo",21,"Alta"
"227","Fisi","M","alto","Bogo",17,"Media"
"228","Fisi","M","alto","Otro",16,"Baja"
"229","Fisi","M","medio","Bogo",23,"Alta"
"230","Fisi","M","bajo","Cund",17,"Media"
"231","Fisi","M","bajo","Bogo",15,"Baja"
"232","Fisi","F","bajo","Otro",18,"Media"
"233","Fisi","F","bajo","Otro",17,"Media"
"234","Fisi","F","alto","Bogo",21,"Alta"
"235","Fisi","F","bajo","Cund",18,"Media"
"236","Fisi","M","medio","Bogo",18,"Media"
"237","Fisi","M","bajo","Cund",17,"Media"
"238","Fisi","M","bajo","Otro",16,"Baja"
"239","Fisi","M","bajo","Otro",16,"Baja"
"240","Fisi","M","bajo","Otro",26,"Alta"
"241","Fisi","F","bajo","Cund",17,"Media"
"242","Fisi","M","medio","Cund",17,"Media"
"243","Fisi","M","bajo","Otro",15,"Baja"
"244","Fisi","M","medio","Otro",17,"Media"
"245","Fisi","M","medio","Bogo",17,"Media"
"246","Fisi","F","medio","Bogo",17,"Media"
"247","Fisi","M","medio","Bogo",17,"Media"
"248","Fisi","M","medio","Bogo",17,"Media"
"249","Fisi","M","medio","Bogo",17,"Media"
"250","Fisi","M","alto","Bogo",17,"Media"
"251","Fisi","F","alto","Bogo",17,"Media"
"252","Fisi","M","medio","Bogo",17,"Media"
"253","Fisi","M","bajo","Otro",19,"Alta"
"254","Fisi","M","medio","Bogo",16,"Baja"
