raza,tamaño,peso,velocidad,inteligencia,afectividad,agresividad,funcion
basset,1,1,1,1,1,3,caza
beauceron,3,2,3,2,3,3,utilitario
boxer,2,2,2,2,3,3,compañía
buldog,1,1,1,2,3,1,compañía
bulmastif,3,3,1,3,1,3,utilitario
caniche,1,1,2,3,3,1,compañía
chihuahua,1,1,1,1,3,1,compañía
cocker,2,1,1,2,3,3,compañía
collie,3,2,3,2,3,1,compañía
dalmata,2,2,2,2,3,1,compañía
doberman,3,2,3,3,1,3,utilitario
dogo,3,3,3,1,1,3,utilitario
foxhound,3,2,3,1,1,3,caza
foxterrier,1,1,2,2,3,3,compañía
galgo,3,2,3,1,1,1,caza
gascon,3,2,2,1,1,3,caza
labrador,2,2,2,2,3,1,caza
pitbull,3,2,3,3,3,3,utilitario
mastin,3,3,1,1,1,3,utilitario
pekines,1,1,1,1,3,1,compañía
podb,2,2,2,3,3,1,caza
podf,3,2,2,2,1,1,caza
pointer,3,2,3,3,1,1,caza
setter,3,2,3,2,1,1,caza
sanbernardo,3,3,1,2,1,3,utilitario
teckel,1,1,1,2,3,1,compañía
