parcela,germ,Humedad,cobertura
1,22.0,1,no
2,41.0,3,no
3,66.0,5,no
4,82.0,7,no
5,79.0,9,no
6,0.0,11,no
7,25.0,1,no
8,46.0,3,no
9,72.0,5,no
10,73.0,7,no
11,68.0,9,no
12,0.0,11,no
13,27.0,1,no
14,59.0,3,no
15,51.0,5,no
16,73.0,7,no
17,74.0,9,no
18,0.0,11,no
19,23.0,1,no
20,38.0,3,no
21,78.0,5,no
22,84.0,7,no
23,70.0,9,no
24,0.0,11,no
25,45.0,1,yes
26,65.0,3,yes
27,81.0,5,yes
28,55.0,7,yes
29,31.0,9,yes
30,0.0,11,yes
31,41.0,1,yes
32,80.0,3,yes
33,73.0,5,yes
34,51.0,7,yes
35,36.0,9,yes
36,0.0,11,yes
37,42.0,1,yes
38,79.0,3,yes
39,74.0,5,yes
40,40.0,7,yes
41,45.0,9,yes
42,0.0,11,yes
43,43.0,1,yes
44,77.0,3,yes
45,76.0,5,yes
46,62.0,7,yes
47,,9,yes
48,0.0,11,yes
